Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

SCHOTTKY18 LED0603           3838.331mil    724.748mil       3838mil        725mil   3838.331mil    667.937mil  B        180.00                
SCHOTTKY17 LED0603           3738.331mil    724.748mil       3738mil        725mil   3738.331mil    667.937mil  B        180.00                
SCHOTTKY16 LED0603           3638.331mil    724.748mil       3638mil        725mil   3638.331mil    667.937mil  B        180.00                
SCHOTTKY15 LED0603           3538.331mil    724.748mil       3538mil        725mil   3538.331mil    667.937mil  B        180.00                
SCHOTTKY14 LED0603           3438.331mil    724.748mil       3438mil        725mil   3438.331mil    667.937mil  B        180.00                
SCHOTTKY13 LED0603           3338.331mil    724.748mil       3338mil        725mil   3338.331mil    667.937mil  B        180.00                
SCHOTTKY12 LED0603           3238.331mil    724.748mil       3238mil        725mil   3238.331mil    667.937mil  B        180.00                
SCHOTTKY11 LED0603           3138.331mil    724.748mil       3138mil        725mil   3138.331mil    667.937mil  B        180.00                
SCHOTTKY10 LED0603           3038.331mil    724.748mil       3038mil        725mil   3038.331mil    667.937mil  B        180.00                
SCHOTTKY9  LED0603           3788.331mil    914.748mil       3788mil        915mil   3788.331mil    857.937mil  B        180.00                
SCHOTTKY8  LED0603           3688.331mil    914.748mil       3688mil        915mil   3688.331mil    857.937mil  B        180.00                
SCHOTTKY7  LED0603           3588.331mil    914.748mil       3588mil        915mil   3588.331mil    857.937mil  B        180.00                
SCHOTTKY6  LED0603           3488.331mil    914.748mil       3488mil        915mil   3488.331mil    857.937mil  B        180.00                
SCHOTTKY5  LED0603           3388.331mil    914.748mil       3388mil        915mil   3388.331mil    857.937mil  B        180.00                
SCHOTTKY4  LED0603           3288.331mil    914.748mil       3288mil        915mil   3288.331mil    857.937mil  B        180.00                
SCHOTTKY3  LED0603           3188.331mil    914.748mil       3188mil        915mil   3188.331mil    857.937mil  B        180.00                
SCHOTTKY2  LED0603           3088.331mil    914.748mil       3088mil        915mil   3088.331mil    857.937mil  B        180.00                
SCHOTTKY1  LED0603           2988.331mil    914.748mil       2988mil        915mil   2988.331mil    857.937mil  B        180.00                
LY 72      LED0603            324.937mil       1737mil    324.937mil       1737mil    365.937mil       1737mil  T          0.00                
LY 73      LED0603            501.937mil       1737mil    501.937mil       1737mil    542.937mil       1737mil  T          0.00                
